[(1.0, 2.0, 3.0), (1.0, 2.0, 4.0)]
[(1.0, 2.0), (1.0, 3.0)]
        - Testing with features [1 5 8] | Accuracy: %68.0
        - Testing with features [1 5 9] | Accuracy: %69.9
        - Testing with features [ 1  5 10] | Accuracy: %66.6
        - Testing with features [ 1  5 11] | Accuracy: %66.1
        - Testing with features [ 1  5 12] | Accuracy: %69.7
        - Testing with features [ 1  5 13] | Accuracy: %68.4
        - Testing with features [ 1  5 14] | Accuracy: %69.1
        - Testing with features [ 1  5 15] | Accuracy: %67.8
        - Testing with features [ 1  5 16] | Accuracy: %69.5
        - Testing with features [ 1  5 17] | Accuracy: %68.7
        - Testing with features [ 1  5 18] | Accuracy: %68.9
        - Testing with features [ 1  5 19] | Accuracy: %67.8
        - Testing with features [ 1  5 20] | Accuracy: %67.8
        - Testing with features [ 1  5 21] | Accuracy: %68.6
        - Testing with features [ 1  5 22] | Accuracy: %68.3
        - Testing with features [ 1  5 23] | Accuracy: %68.8
        - Testing with features [ 1  5 24] | Accuracy: %68.3
        - Testing with features [ 1  5 25] | Accuracy: %65.7
        - Testing with features [ 1  5 26] | Accuracy: %66.5
        - Testing with features [ 1  5 27] | Accuracy: %66.5
        - Testing with features [ 1  5 28] | Accuracy: %68.8
        - Testing with features [ 1  5 29] | Accuracy: %70.3
        - Testing with features [ 1  5 30] | Accuracy: %69.5
        - Testing with features [ 1  5 31] | Accuracy: %69.3
        - Testing with features [ 1  5 32] | Accuracy: %69.7
        - Testing with features [ 1  5 33] | Accuracy: %69.2
        - Testing with features [ 1  5 34] | Accuracy: %68.4
        - Testing with features [ 1  5 35] | Accuracy: %69.0
        - Testing with features [ 1  5 36] | Accuracy: %68.9
        - Testing with features [ 1  5 37] | Accuracy: %67.6
        - Testing with features [ 1  5 38] | Accuracy: %66.7
        - Testing with features [ 1  5 39] | Accuracy: %68.8
        - Testing with features [ 1  5 40] | Accuracy: %68.8
        - Testing with features [1 6 7] | Accuracy: %81.4
        - Testing with features [1 6 8] | Accuracy: %70.4
        - Testing with features [1 6 9] | Accuracy: %68.2
        - Testing with features [ 1  6 10] | Accuracy: %70.5
        - Testing with features [ 1  6 11] | Accuracy: %69.0
        - Testing with features [ 1  6 12] | Accuracy: %68.2
        - Testing with features [ 1  6 13] | Accuracy: %70.7
        - Testing with features [ 1  6 14] | Accuracy: %67.8
        - Testing with features [ 1  6 15] | Accuracy: %67.4
        - Testing with features [ 1  6 16] | Accuracy: %67.8
        - Testing with features [ 1  6 17] | Accuracy: %67.8
        - Testing with features [ 1  6 18] | Accuracy: %66.7
        - Testing with features [ 1  6 19] | Accuracy: %68.9
        - Testing with features [ 1  6 20] | Accuracy: %66.6
        - Testing with features [ 1  6 21] | Accuracy: %68.7
        - Testing with features [ 1  6 22] | Accuracy: %66.4
        - Testing with features [ 1  6 23] | Accuracy: %70.3
        - Testing with features [ 1  6 24] | Accuracy: %68.9
        - Testing with features [ 1  6 25] | Accuracy: %66.3
        - Testing with features [ 1  6 26] | Accuracy: %66.3
        - Testing with features [ 1  6 27] | Accuracy: %68.7
        - Testing with features [ 1  6 28] | Accuracy: %67.9
        - Testing with features [ 1  6 29] | Accuracy: %68.7
        - Testing with features [ 1  6 30] | Accuracy: %67.9
        - Testing with features [ 1  6 31] | Accuracy: %68.1
        - Testing with features [ 1  6 32] | Accuracy: %68.1
