        - Testing with features [ 7  4 30  2] | Accuracy: %89.8
        - Testing with features [ 7  4 30  3] | Accuracy: %89.5
        - Testing with features [ 7  4 30  5] | Accuracy: %91.4
        - Testing with features [ 7  4 30  6] | Accuracy: %89.5
        - Testing with features [ 7  4 30  8] | Accuracy: %91.1
        - Testing with features [ 7  4 30  9] | Accuracy: %91.4
        - Testing with features [ 7  4 30 10] | Accuracy: %89.4
        - Testing with features [ 7  4 30 11] | Accuracy: %90.0
        - Testing with features [ 7  4 30 12] | Accuracy: %89.4
        - Testing with features [ 7  4 30 13] | Accuracy: %88.2
        - Testing with features [ 7  4 30 14] | Accuracy: %90.7
        - Testing with features [ 7  4 30 15] | Accuracy: %88.1
        - Testing with features [ 7  4 30 16] | Accuracy: %91.3
        - Testing with features [ 7  4 30 17] | Accuracy: %88.5
        - Testing with features [ 7  4 30 18] | Accuracy: %90.0
        - Testing with features [ 7  4 30 19] | Accuracy: %89.1
        - Testing with features [ 7  4 30 20] | Accuracy: %89.8
        - Testing with features [ 7  4 30 21] | Accuracy: %89.1
        - Testing with features [ 7  4 30 22] | Accuracy: %90.8
        - Testing with features [ 7  4 30 23] | Accuracy: %90.6
        - Testing with features [ 7  4 30 24] | Accuracy: %90.2
        - Testing with features [ 7  4 30 25] | Accuracy: %91.9
        - Testing with features [ 7  4 30 26] | Accuracy: %89.9
        - Testing with features [ 7  4 30 27] | Accuracy: %89.0
        - Testing with features [ 7  4 30 28] | Accuracy: %89.6
        - Testing with features [ 7  4 30 29] | Accuracy: %89.4
        - Testing with features [ 7  4 30 31] | Accuracy: %89.6
        - Testing with features [ 7  4 30 32] | Accuracy: %91.1
        - Testing with features [ 7  4 30 33] | Accuracy: %89.1
        - Testing with features [ 7  4 30 34] | Accuracy: %89.7
        - Testing with features [ 7  4 30 35] | Accuracy: %91.1
        - Testing with features [ 7  4 30 36] | Accuracy: %89.0
        - Testing with features [ 7  4 30 37] | Accuracy: %89.9
        - Testing with features [ 7  4 30 38] | Accuracy: %88.5
        - Testing with features [ 7  4 30 39] | Accuracy: %89.4
        - Testing with features [ 7  4 30 40] | Accuracy: %89.0
     [+] -- On level 4, we add feature subset [ 7  4 30  1] with an accuracy of %92.2

[::] -- Forward Selection Search Tree Level 5 -- [::]
        - Testing with features [ 7  4 30  1  2] | Accuracy: %86.2
        - Testing with features [ 7  4 30  1  3] | Accuracy: %87.6
        - Testing with features [ 7  4 30  1  5] | Accuracy: %87.6
        - Testing with features [ 7  4 30  1  6] | Accuracy: %86.4
        - Testing with features [ 7  4 30  1  8] | Accuracy: %87.2
        - Testing with features [ 7  4 30  1  9] | Accuracy: %89.0
        - Testing with features [ 7  4 30  1 10] | Accuracy: %86.3
        - Testing with features [ 7  4 30  1 11] | Accuracy: %87.6
        - Testing with features [ 7  4 30  1 12] | Accuracy: %86.6
        - Testing with features [ 7  4 30  1 13] | Accuracy: %84.9
        - Testing with features [ 7  4 30  1 14] | Accuracy: %86.8
        - Testing with features [ 7  4 30  1 15] | Accuracy: %87.2
        - Testing with features [ 7  4 30  1 16] | Accuracy: %86.1
        - Testing with features [ 7  4 30  1 17] | Accuracy: %85.9
        - Testing with features [ 7  4 30  1 18] | Accuracy: %87.3
        - Testing with features [ 7  4 30  1 19] | Accuracy: %86.1
        - Testing with features [ 7  4 30  1 20] | Accuracy: %86.4
        - Testing with features [ 7  4 30  1 21] | Accuracy: %84.0
        - Testing with features [ 7  4 30  1 22] | Accuracy: %87.5
        - Testing with features [ 7  4 30  1 23] | Accuracy: %88.1
        - Testing with features [ 7  4 30  1 24] | Accuracy: %85.7
        - Testing with features [ 7  4 30  1 25] | Accuracy: %87.7
        - Testing with features [ 7  4 30  1 26] | Accuracy: %86.2
        - Testing with features [ 7  4 30  1 27] | Accuracy: %85.5
        - Testing with features [ 7  4 30  1 28] | Accuracy: %87.3
        - Testing with features [ 7  4 30  1 29] | Accuracy: %86.9
        - Testing with features [ 7  4 30  1 31] | Accuracy: %86.2
        - Testing with features [ 7  4 30  1 32] | Accuracy: %86.3
        - Testing with features [ 7  4 30  1 33] | Accuracy: %86.0
        - Testing with features [ 7  4 30  1 34] | Accuracy: %87.6
        - Testing with features [ 7  4 30  1 35] | Accuracy: %85.9
        - Testing with features [ 7  4 30  1 36] | Accuracy: %86.5
        - Testing with features [ 7  4 30  1 37] | Accuracy: %85.9
        - Testing with features [ 7  4 30  1 38] | Accuracy: %85.0
        - Testing with features [ 7  4 30  1 39] | Accuracy: %86.6
        - Testing with features [ 7  4 30  1 40] | Accuracy: %84.7
     [+] -- On level 5, we add feature subset [ 7  4 30  1  9] with an accuracy of %89.0

[::] -- Forward Selection Search Tree Level 6 -- [::]
        - Testing with features [ 7  4 30  1  9  2] | Accuracy: %85.3
        - Testing with features [ 7  4 30  1  9  3] | Accuracy: %85.0
        - Testing with features [ 7  4 30  1  9  5] | Accuracy: %82.8
        - Testing with features [ 7  4 30  1  9  6] | Accuracy: %84.1
        - Testing with features [ 7  4 30  1  9  8] | Accuracy: %82.8
        - Testing with features [ 7  4 30  1  9 10] | Accuracy: %84.4
        - Testing with features [ 7  4 30  1  9 11] | Accuracy: %86.2
        - Testing with features [ 7  4 30  1  9 12] | Accuracy: %83.0
        - Testing with features [ 7  4 30  1  9 13] | Accuracy: %83.8
        - Testing with features [ 7  4 30  1  9 14] | Accuracy: %83.4
        - Testing with features [ 7  4 30  1  9 15] | Accuracy: %85.6
        - Testing with features [ 7  4 30  1  9 16] | Accuracy: %84.3
        - Testing with features [ 7  4 30  1  9 17] | Accuracy: %82.7
        - Testing with features [ 7  4 30  1  9 18] | Accuracy: %84.8
        - Testing with features [ 7  4 30  1  9 19] | Accuracy: %83.3
        - Testing with features [ 7  4 30  1  9 20] | Accuracy: %84.6
        - Testing with features [ 7  4 30  1  9 21] | Accuracy: %82.6
        - Testing with features [ 7  4 30  1  9 22] | Accuracy: %83.2
        - Testing with features [ 7  4 30  1  9 23] | Accuracy: %82.9
        - Testing with features [ 7  4 30  1  9 24] | Accuracy: %84.0
        - Testing with features [ 7  4 30  1  9 25] | Accuracy: %83.5
        - Testing with features [ 7  4 30  1  9 26] | Accuracy: %82.1
        - Testing with features [ 7  4 30  1  9 27] | Accuracy: %82.5
        - Testing with features [ 7  4 30  1  9 28] | Accuracy: %82.9
        - Testing with features [ 7  4 30  1  9 29] | Accuracy: %84.8
        - Testing with features [ 7  4 30  1  9 31] | Accuracy: %83.8
        - Testing with features [ 7  4 30  1  9 32] | Accuracy: %80.9
        - Testing with features [ 7  4 30  1  9 33] | Accuracy: %84.6
        - Testing with features [ 7  4 30  1  9 34] | Accuracy: %85.4
        - Testing with features [ 7  4 30  1  9 35] | Accuracy: %84.7
        - Testing with features [ 7  4 30  1  9 36] | Accuracy: %82.8
        - Testing with features [ 7  4 30  1  9 37] | Accuracy: %81.8
        - Testing with features [ 7  4 30  1  9 38] | Accuracy: %85.1
        - Testing with features [ 7  4 30  1  9 39] | Accuracy: %83.6
